"date","count"
"07.07.2020",16
"08.07.2020",18
"09.07.2020",18
"10.07.2020",22
"11.07.2020",7
"12.07.2020",9
"13.07.2020",14
"14.07.2020",18
"15.07.2020",14
"16.07.2020",10
"17.07.2020",8
"18.07.2020",12
"19.07.2020",15
"20.07.2020",26
"21.07.2020",18
"22.07.2020",23
"23.07.2020",21
"24.07.2020",26
"25.07.2020",14
"26.07.2020",9
"27.07.2020",15
"28.07.2020",15
"29.07.2020",19
"30.07.2020",19
"31.07.2020",24
"01.08.2020",28
"02.08.2020",17
"03.08.2020",13
"04.08.2020",14
"05.08.2020",14
"06.08.2020",16
"07.08.2020",21
"08.08.2020",24
"09.08.2020",26
"10.08.2020",31
"11.08.2020",34
"12.08.2020",32
"13.08.2020",27
"14.08.2020",15
"15.08.2020",12
"16.08.2020",13
"17.08.2020",13
"18.08.2020",11
"19.08.2020",15
"20.08.2020",14
"21.08.2020",19
"22.08.2020",10
"23.08.2020",6
"24.08.2020",10
"25.08.2020",15
"26.08.2020",13
"27.08.2020",20
"28.08.2020",13
"29.08.2020",7
"30.08.2020",6
"31.08.2020",12
"01.09.2020",13
"02.09.2020",16
"03.09.2020",15
"04.09.2020",17
"05.09.2020",16
"06.09.2020",8
"07.09.2020",13
"08.09.2020",17
"09.09.2020",22
"10.09.2020",19
"11.09.2020",20
"12.09.2020",20
"13.09.2020",19
"14.09.2020",26
"15.09.2020",32
"16.09.2020",38
"17.09.2020",31
"18.09.2020",22
"19.09.2020",20
"20.09.2020",20
"21.09.2020",26
"22.09.2020",35
"23.09.2020",22
"24.09.2020",13
"25.09.2020",7
"26.09.2020",3
"27.09.2020",3
"28.09.2020",11
"29.09.2020",15
"30.09.2020",19
"01.10.2020",19
"02.10.2020",17
"03.10.2020",7
"04.10.2020",5
"05.10.2020",9
